"names","x","y","z","delta_coef","theta_coef","alpha_coef","beta_coef","gamma_coef"
"l.lateraloccipital",-30.7421881308034,-84.8458619297537,3.34444893015745,-0.000828520696631153,-0.0000769505576175025,0.000318519935067233,0.000299523188272102,0.000187172233248603
"l.lateralorbitofrontal",-22.4616872649113,35.1326168726491,-15.9257388500806,-0.000656183452564584,-0.00020461705396097,0.000292290599402867,0.00022413825256852,0.000227433301810984
"l.lingual",-11.1102160380813,-65.7485658488954,-2.49127303795923,-0.000644041710148696,-0.000132803050878152,0.000298956546825113,0.0003002889845997,0.000144133681031924
"l.medialorbitofrontal",-2.44785403275969,41.4291934480614,-16.1764461953141,-0.000575387491971834,-0.0000379310583147009,0.000292456202950787,0.000119915312016059,0.0000809819135195198
"l.middletemporal",-55.9070886990011,-20.2206643398724,-12.4513178481165,-0.0009620182510048,-0.000309305972021488,0.000535229286481192,0.00052272412147965,0.000105132277923191
"l.parahippocampal",-21.148532731377,-26.7598194130926,-16.8993227990971,-0.000368479962024482,-0.000239116379222648,0.00024443231320197,0.000259572908515244,0.0000842526087093252
"l.paracentral",-4.36663914120562,-26.6668042939719,62.2648637489678,-0.0013776331978281,-0.000741570061793541,0.000367851163479089,0.000918485925958717,0.000827976345319919
"l.parsopercularis",-46.5768960180104,20.3396651188969,15.9380892078233,-0.000966200450163159,-0.000155234097522317,0.000367941262506385,0.000371716723857807,0.000309635217784945
"l.parsorbitalis",-40.6994451294698,43.9442046855734,-11.5918618988903,-0.000928428309089499,-0.000131318117636256,0.000327499211689997,0.000278669094028212,0.000420340724924979
"l.parstriangularis",-45.6955581761006,35.6717767295597,2.56996855345912,-0.000933340331704145,-0.000190529408136474,0.000350367085206379,0.00033353726220098,0.000301962301059491
"l.pericalcarine",-9.82888977317947,-77.5658575407879,8.94826900119379,-0.00127499723563293,-0.000431950232034267,0.000403600883981483,0.000498545565743717,0.000901759262816944
"l.postcentral",-44.5775840802566,-18.2702902721816,44.9976975577666,-0.000966513968841843,-0.000300923930891644,0.000369698474029004,0.000615608610652744,0.000213151055227797
"l.posteriorcingulate",-2.9421686746988,-16.204578313253,41.4236144578313,-0.000620532859280952,-0.000287531498330761,0.000308667277881776,0.000403007163317227,0.0000943950695541401
"l.precentral",-40.4243109708911,-4.15500922673969,45.1439371391154,-0.00082865652763283,-0.000165384904898655,0.000361671389566843,0.000523798978767569,0.0000535528138535344
"l.precuneus",-6.83231427697952,-55.8816111280954,40.8780189544482,-0.000666415405757035,-0.000270582802950319,0.000488935455831245,0.00042070389072398,-0.0000324889898972289
"l.rostralanteriorcingulate",-3.25521292217327,40.688986784141,5.33715124816446,-0.000208453699089241,-0.0000539676490630525,0.000315056534365353,0.0000635453369320491,-0.000279436632597761
