"ROI_index","no.pts","no.hosp","delta_coef","delta_SE","delta_singular","delta_none0_CI","theta_coef","theta_SE","theta_singular","theta_none0_CI","alpha_coef","alpha_SE","alpha_singular","alpha_none0_CI","beta_coef","beta_SE","beta_singular","beta_none0_CI","gamma_coef","gamma_SE","gamma_singular","gamma_none0_CI"
63,194,14,-0.00036585439675895,0.000180328646592348,0,1,-0.000254326941822763,0.000104408271443647,0,1,0.000269652084602425,9.75620561219395e-05,0,1,0.000261458162450207,9.88376118676463e-05,0,1,6.87126978707468e-05,0.000162829001206794,0,0
64,102,13,-0.00141144170145705,0.000291556211085838,0,1,-0.000674899165189043,0.000197949639940197,0,1,0.000338561329671811,0.000152553140964288,0,1,0.00089738699885008,0.000202718629452359,0,1,0.000833851381601352,0.000241131294113928,0,1
65,281,14,-0.000957620807074693,0.00019345759958546,0,1,-0.000111954435873045,0.000104938395689934,0,0,0.000384684506271125,8.21983115155478e-05,0,1,0.00036376466324003,0.000132344181317167,0,1,0.000232705369081125,0.000148614976281135,0,0
66,186,14,-0.000865039998184728,0.000202828680512748,0,1,-3.31085808649441e-05,0.00011706500313075,0,0,0.000362490305254463,9.63462020036336e-05,0,1,0.000251571259201545,0.000134458634793785,0,0,0.000244843124723684,0.000182681248549657,0,0
67,300,14,-0.000985604777608424,0.000182443972015689,0,1,-0.000181242204101343,0.000109563350508244,0,0,0.000354578474075706,7.6404912600726e-05,0,1,0.000384801528916854,0.000116694762876801,0,1,0.000304405338361696,0.000157901210310175,0,0
68,33,11,-0.00120198181648814,0.000326276530916576,0,1,-0.000425634206932933,0.000213204579773222,1,1,0.00037761250727367,0.000248438083841076,0,0,0.000495589050465648,0.000171296169321902,1,1,0.000806981799489078,0.000313284426613804,1,1
69,340,14,-0.000909108057085413,0.000167728759799492,0,1,-0.000241832375487368,0.000103926063596257,0,1,0.000368729117765163,8.15332035586736e-05,0,1,0.000595751318876361,9.7669716743077e-05,0,1,0.000145374162976635,0.000137923053998698,0,0
70,150,12,-0.000632182767806174,0.000248741415634771,0,1,-0.000312495912201628,0.00016117728958063,0,0,0.000328337979454747,0.000103138116124463,1,1,0.000411266978121,0.000164073309735464,0,1,0.000100139201444237,0.000221651602112848,0,0
71,381,14,-0.00086785552200322,0.000144152719478222,0,1,-0.000145393774829764,8.90032747340577e-05,0,0,0.000351402111926393,6.88096553998259e-05,0,1,0.000568374660998517,9.61616301920019e-05,0,1,4.06166288246481e-05,0.00012191354763733,0,0
72,167,13,-0.00067999781235079,0.000209411897860955,0,1,-0.000188165537035856,0.000131102669770473,0,0,0.000538095965888577,0.000102896071328775,0,1,0.000400690442582797,0.000124299691725282,0,1,-9.99583042435735e-05,0.000188517431757111,0,0
73,139,13,-7.60913155380708e-05,0.000234540975004903,0,0,9.31498503871021e-05,0.000177399823914763,0,0,0.000312001836802008,0.000139404588139309,0,1,-8.97556028481941e-05,0.000175044264746861,0,0,-0.000401102543016529,0.000203978620944793,0,0
74,364,14,-0.000837337990854582,0.00016282026800697,0,1,-0.000111962203395723,9.65323643683565e-05,0,0,0.000321912329318878,7.29201665642816e-05,0,1,0.000377356999660365,0.000108134221426709,0,1,0.000157794024121277,0.000132358200798982,0,0
75,289,14,-0.000357492162824072,0.000174236431259801,0,1,0.000155812589974204,0.000107807312585554,0,0,0.000146507002122474,8.5271240577526e-05,0,0,0.000127442643281821,0.000123474163607417,0,0,-0.000145944393220855,0.000142478528512456,0,0
76,208,14,-0.000923335675260317,0.000169348608901822,0,1,-0.000293862584792275,0.000116393981864104,0,1,0.000489465255975354,0.00010381770551244,0,1,0.000505739660759198,0.000104694194614994,0,1,0.000170321211199773,0.000168120936363764,0,0
77,385,15,-0.000770101132799368,0.00016338084107147,0,1,-0.000170816062602712,8.75832928677004e-05,0,0,0.000447954171598321,6.93092204760195e-05,0,1,0.000370273941462687,9.17896034938885e-05,0,1,-2.41656454471177e-05,0.000116704879009313,0,0
78,362,14,-0.000997932543701165,0.000155410576262834,0,1,-0.000203548740317052,9.94380645390897e-05,0,1,0.000545859056153341,7.69838997905814e-05,0,1,0.0005258630802482,9.35571976956459e-05,0,1,5.92062440693107e-05,0.000125103534681959,0,0
79,38,9,-0.00125844503045638,0.00057797275014337,0,1,0.000365336897307914,0.00025467564502878,0,0,0.000254810065363554,0.000222123024123565,1,0,0.000656965605887903,0.000336129898129328,0,0,-0.00011428352312529,0.000463305123515011,0,0
80,96,12,-0.000333206356638101,0.000300835975056259,0,0,-2.75363994669736e-05,0.000177224012943328,0,0,0.0002753988307704,0.000148491707478619,0,0,0.000110544097891966,0.000153755047882417,0,0,-5.06536992748519e-05,0.000281049617954862,0,0
81,101,12,-0.000858561818296163,0.000248099024105141,0,1,-0.000252911654040653,0.000143506816041066,0,0,0.000431445200589708,0.000104784049848912,0,1,0.000387830403924408,0.000138743634007615,0,1,0.000176112398144952,0.000209257190621773,0,0
82,267,14,-0.000497285316330605,0.000167750892749124,0,1,-0.000145106266671622,0.000107185188745576,0,0,0.000448274114265433,8.47576737007409e-05,0,1,0.000115340959668834,0.000116217158175041,0,0,-1.97764442421906e-05,0.000132440600588384,0,0
